VELIE DANIEL|PM6861 .Z5 1981|3|8479|LC|1|1900-01-01|1981|MARC|NEVER|2000-11-04|NORMAL|spa|1900-01-01|B-ALF|9142|10017414|1981|PM|AAC4945BB|1990-02-26|VOCABULARIO OREJON|0|a|006861 .Z5  1981|NEVER|P
KOLLERITSCH ALFRED 001931|PT2671.O418 A45 1989|3|32015|LC|1|1900-01-01|c1989.|MARC|NEVER|2000-11-04|NORMAL|ger|1900-01-01|B-ALF|14483740|20757638|1989|PT|AAJ0587BB|1990-05-25|ALLEMANN ROMAN|0|a|002671 .O418  A45  1989|NEVER|P
ZAMANSKI? L A|PG3064.H57 Z3 1981|3|34915|LC|1|1900-01-01|1981|MARC|NEVER|2000-11-04|NORMAL|rus|1900-01-01|B-ALF|13061166|10374650|1981|PG|AAK0233BB|1990-06-04|RUSSKAI?A SOVETSKAI?A ISTORICHESKAI?A PO?MA 000030 KH GODOV UCHEBNOE POSOBIE|0|a|003064 .H57  Z3  1981|NEVER|P
FALCONBRIDGE JOHN DELATRE 001875|KE470.A7 F35 1947|2|53070|LC|1|1900-01-01|1947|MARC|NEVER|2000-11-04|NORMAL|eng|1900-01-01|B-LAW|57181|1900944|1947|KE|AAR5602BW|1990-07-25|ESSAYS ON THE CONFLICT OF LAWS|0|a|000470 .A7  F35  1947|NEVER|K
FORSTER MARGARET 001938|PR6056.O695 L15|2|58951|LC|1|1900-01-01|1990|MARC|NEVER|2000-11-04|NORMAL|eng|1900-01-01|B-LILLY|63344|21599012|1990|PR|AAT6926BY|1990-08-09|LADYS MAID|0|a|006056 .O695  L15|NEVER|P
TSURUMI YOSHI|HC106.8 .T79 1987|3|69058|LC|1|1900-01-01|1987|MARC|NEVER|2000-11-04|NORMAL|jpn|1900-01-01|B-ALF|7584852|18872592|1987|HC|AAW4204BB|1990-09-19|TSURUMI YOSHIHIRO NO NIHON SAIKATSURON TAIBEI K?SH? NO MY?SHU INTERNATIONAL CRISIS MANAGEMENT AND NEW SOCIAL EVOLUT|0|a|000106.8 .T79  1987|NEVER|H
CRISPIN EDMUND 001921 001978|PR6025.O46 G55|2|71069|LC|1|1900-01-01|1977|MARC|NEVER|2000-11-04|NORMAL|eng|1900-01-01|B-LILLY|76152|3311013|1977|PR|AAW8744BY|1990-09-26|GLIMPSES OF THE MOON A NOVEL|0|a|006025 .O46  G55|NEVER|P
null|KJE121 .R46 1988|2|72118|LC|1|1900-01-01|null|SERIAL|NEVER|2000-11-04|NORMAL|eng|1900-01-01|B-LAW|77233|3922038|1975|KJ|AAX0723BW|1990-10-01|REPORT ON THE ACTIVITIES OF THE COUNCIL OF EUROPE|0|a|E000121 .R46  001988|NEVER|K
null|QM455.A1 B82 v.25-27 1994|52|89512|LC|1|1900-01-01|c1989-|SERI|NEVER|2000-11-04|_CICSP|eng|1900-01-01|B-ALF|9686714|19645119|1989|QM|ABA3567BB|1990-11-26|BRAIN RESEARCH MOLECULAR BRAIN RESEARCH|0|a|000455 .A1  B82  V.000025-000027 001994|NEVER|Q
BEAUCE THIERRY DE|PC2073 .B35 1988|3|93415|LC|1|1900-01-01|1988|MARC|NEVER|2000-11-04|NORMAL|fre|1900-01-01|B-ALF|13395344|18440299|1988|PC|ABB0951BB|1990-12-06|NOUVEAU DISCOURS SUR LUNIVERSALITE DE LA LANGUE FRANC?AISE|0|a|002073 .B35  1988|NEVER|P
